2022-09-30 17:02:45,729	INFO trainable.py:160 -- Trainable.setup took 24.909 seconds. If your trainable is slow to initialize, consider setting reuse_actors=True to reduce actor creation overheads.
2022-09-30 17:02:45,730	WARNING util.py:65 -- Install gputil for GPU system monitoring.
Main trainign step 0
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931471824645996, 'policy_loss': 36.99603271484375, 'vf_loss': 179.7366180419922, 'total_loss': 126.79502868652344}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.883551597595215, 'policy_loss': 38.399879455566406, 'vf_loss': 171.27066040039062, 'total_loss': 123.96637725830078}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.888200283050537, 'policy_loss': 36.28087615966797, 'vf_loss': 166.64080810546875, 'total_loss': 119.53239440917969}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.883105278015137, 'policy_loss': 36.89036178588867, 'vf_loss': 172.9297637939453, 'total_loss': 123.28640747070312}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.889506816864014, 'policy_loss': 34.53255844116211, 'vf_loss': 160.9183807373047, 'total_loss': 114.9228515625}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.900712490081787, 'policy_loss': 17.86778450012207, 'vf_loss': 77.91114044189453, 'total_loss': 56.75434875488281}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.886000633239746, 'policy_loss': 24.266132354736328, 'vf_loss': 96.7948226928711, 'total_loss': 72.59468078613281}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.8793816566467285, 'policy_loss': 34.84590148925781, 'vf_loss': 168.89015197753906, 'total_loss': 119.22218322753906}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.8954057693481445, 'policy_loss': 16.658071517944336, 'vf_loss': 68.9981689453125, 'total_loss': 51.08820343017578}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.86912727355957, 'policy_loss': 37.21323776245117, 'vf_loss': 171.56936645507812, 'total_loss': 122.92922973632812}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.864943981170654, 'policy_loss': 36.20684051513672, 'vf_loss': 170.0770721435547, 'total_loss': 121.17672729492188}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.880942344665527, 'policy_loss': 31.9693603515625, 'vf_loss': 155.54351806640625, 'total_loss': 109.67230987548828}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.870086669921875, 'policy_loss': 16.236722946166992, 'vf_loss': 64.1553726196289, 'total_loss': 48.245704650878906}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.851768970489502, 'policy_loss': 37.296478271484375, 'vf_loss': 170.02645874023438, 'total_loss': 122.2411880493164}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.863006591796875, 'policy_loss': 15.885018348693848, 'vf_loss': 63.250431060791016, 'total_loss': 47.44160461425781}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.8399810791015625, 'policy_loss': 35.69032669067383, 'vf_loss': 168.19891357421875, 'total_loss': 119.72138214111328}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.834815502166748, 'policy_loss': 39.06098175048828, 'vf_loss': 169.43984985351562, 'total_loss': 123.71255493164062}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.834376335144043, 'policy_loss': 31.06061553955078, 'vf_loss': 165.7418212890625, 'total_loss': 113.8631820678711}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.837216377258301, 'policy_loss': 38.28152084350586, 'vf_loss': 165.06088256835938, 'total_loss': 120.74359130859375}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.839022159576416, 'policy_loss': 9.949592590332031, 'vf_loss': 41.56814193725586, 'total_loss': 30.665273666381836}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 29.06195640563965, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.831902980804443, 'policy_loss': 8.4057035446167, 'vf_loss': 21.15029525756836, 'total_loss': 18.91253089904785}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.820266246795654, 'policy_loss': 35.86537551879883, 'vf_loss': 166.141357421875, 'total_loss': 118.86785125732422}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 25.823942184448242, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.838404655456543, 'policy_loss': 8.208549499511719, 'vf_loss': 21.169952392578125, 'total_loss': 18.725141525268555}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.8240437507629395, 'policy_loss': 31.54608154296875, 'vf_loss': 156.26681518554688, 'total_loss': 109.61125183105469}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.830656051635742, 'policy_loss': 14.421218872070312, 'vf_loss': 64.746337890625, 'total_loss': 46.72608184814453}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.817834377288818, 'policy_loss': 36.36825180053711, 'vf_loss': 164.04820251464844, 'total_loss': 118.32417297363281}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.812617778778076, 'policy_loss': 16.22563934326172, 'vf_loss': 67.78411865234375, 'total_loss': 50.0495719909668}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.80915641784668, 'policy_loss': 36.335289001464844, 'vf_loss': 161.74612426757812, 'total_loss': 117.1402587890625}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.8201799392700195, 'policy_loss': 34.02039337158203, 'vf_loss': 166.8614044189453, 'total_loss': 117.38289642333984}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.817866325378418, 'policy_loss': 20.112247467041016, 'vf_loss': 91.7007827758789, 'total_loss': 65.89446258544922}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.824819087982178, 'policy_loss': 8.949851036071777, 'vf_loss': 23.500051498413086, 'total_loss': 20.631628036499023}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.817266941070557, 'policy_loss': 38.86316680908203, 'vf_loss': 173.45205688476562, 'total_loss': 125.5210189819336}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.825737953186035, 'policy_loss': 36.483482360839844, 'vf_loss': 157.66416931152344, 'total_loss': 115.24730682373047}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.838784694671631, 'policy_loss': 31.31365203857422, 'vf_loss': 170.11785888671875, 'total_loss': 116.30419158935547}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.8689727783203125, 'policy_loss': 30.533105850219727, 'vf_loss': 144.7145233154297, 'total_loss': 102.8216781616211}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.857132911682129, 'policy_loss': 25.122272491455078, 'vf_loss': 122.59095764160156, 'total_loss': 86.34918212890625}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.849993705749512, 'policy_loss': 14.8018798828125, 'vf_loss': 68.7528076171875, 'total_loss': 49.10978317260742}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.854894161224365, 'policy_loss': 34.80133056640625, 'vf_loss': 160.21559143066406, 'total_loss': 114.840576171875}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.842110633850098, 'policy_loss': 27.251934051513672, 'vf_loss': 130.19041442871094, 'total_loss': 92.27871704101562}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.839646816253662, 'policy_loss': 37.55760955810547, 'vf_loss': 169.4919891357422, 'total_loss': 122.2352066040039}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.84149169921875, 'policy_loss': 37.31292724609375, 'vf_loss': 163.277099609375, 'total_loss': 118.88306427001953}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 24.950775146484375, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.8533244132995605, 'policy_loss': 5.861353874206543, 'vf_loss': 30.640357971191406, 'total_loss': 21.113000869750977}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.852818012237549, 'policy_loss': 10.253454208374023, 'vf_loss': 28.659868240356445, 'total_loss': 24.514862060546875}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.855698108673096, 'policy_loss': 33.12348556518555, 'vf_loss': 157.86578369140625, 'total_loss': 111.98782348632812}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.861418724060059, 'policy_loss': 12.961222648620605, 'vf_loss': 48.44541549682617, 'total_loss': 37.11531448364258}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.861546516418457, 'policy_loss': 32.83383560180664, 'vf_loss': 187.77935791015625, 'total_loss': 126.65489196777344}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.863449573516846, 'policy_loss': 34.36891555786133, 'vf_loss': 159.0450897216797, 'total_loss': 113.82283020019531}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.869617938995361, 'policy_loss': 30.873241424560547, 'vf_loss': 147.46255493164062, 'total_loss': 104.53582763671875}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 20.972543716430664, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.870551109313965, 'policy_loss': 5.7757248878479, 'vf_loss': 17.416461944580078, 'total_loss': 14.415249824523926}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 19.350019454956055, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.867457866668701, 'policy_loss': 5.485828399658203, 'vf_loss': 19.066539764404297, 'total_loss': 14.950423240661621}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.8666276931762695, 'policy_loss': 39.964054107666016, 'vf_loss': 169.54928588867188, 'total_loss': 124.67002868652344}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 10.025567054748535, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.86841344833374, 'policy_loss': 2.962130546569824, 'vf_loss': 21.248056411743164, 'total_loss': 13.517474174499512}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.874379634857178, 'policy_loss': 34.611148834228516, 'vf_loss': 162.31051635742188, 'total_loss': 115.69766235351562}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 9.246651649475098, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.881167411804199, 'policy_loss': 2.0820140838623047, 'vf_loss': 19.139020919799805, 'total_loss': 11.58271312713623}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.877384185791016, 'policy_loss': 36.51293182373047, 'vf_loss': 161.89505004882812, 'total_loss': 117.39168548583984}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.882187366485596, 'policy_loss': 35.14736557006836, 'vf_loss': 168.087158203125, 'total_loss': 119.12212371826172}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.89128303527832, 'policy_loss': 2.8920953273773193, 'vf_loss': 21.278711318969727, 'total_loss': 13.462538719177246}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 28.368410110473633, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.891210079193115, 'policy_loss': 8.425402641296387, 'vf_loss': 38.771522521972656, 'total_loss': 27.742252349853516}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.899061679840088, 'policy_loss': 35.12290573120117, 'vf_loss': 154.40509033203125, 'total_loss': 112.25646209716797}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.906254291534424, 'policy_loss': 34.41983413696289, 'vf_loss': 170.61764526367188, 'total_loss': 119.65959167480469}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.912295818328857, 'policy_loss': 34.88199996948242, 'vf_loss': 159.52203369140625, 'total_loss': 114.57389831542969}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.910975456237793, 'policy_loss': 37.2153434753418, 'vf_loss': 164.8777313232422, 'total_loss': 119.58509826660156}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.918639659881592, 'policy_loss': 33.424007415771484, 'vf_loss': 165.75076293945312, 'total_loss': 116.23020935058594}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9216413497924805, 'policy_loss': 35.116939544677734, 'vf_loss': 160.32229614257812, 'total_loss': 115.20887756347656}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 27.804540634155273, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.923398971557617, 'policy_loss': 5.247136116027832, 'vf_loss': 38.74658966064453, 'total_loss': 24.55119514465332}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.924295425415039, 'policy_loss': 34.447669982910156, 'vf_loss': 160.1953887939453, 'total_loss': 114.47611999511719}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9274797439575195, 'policy_loss': 0.908324122428894, 'vf_loss': 19.82793426513672, 'total_loss': 10.753016471862793}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9295549392700195, 'policy_loss': 34.3195686340332, 'vf_loss': 161.08660888671875, 'total_loss': 114.79357147216797}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 18.771148681640625, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930450916290283, 'policy_loss': 1.7267811298370361, 'vf_loss': 25.85320472717285, 'total_loss': 14.584078788757324}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930917739868164, 'policy_loss': 35.192134857177734, 'vf_loss': 162.25454711914062, 'total_loss': 116.25010681152344}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931396007537842, 'policy_loss': 34.983455657958984, 'vf_loss': 160.1670379638672, 'total_loss': 114.9976577758789}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 18.24724006652832, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9307122230529785, 'policy_loss': 0.7297837734222412, 'vf_loss': 18.277118682861328, 'total_loss': 9.799036026000977}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9311981201171875, 'policy_loss': 34.95552444458008, 'vf_loss': 158.07322692871094, 'total_loss': 113.9228286743164}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 26.97505760192871, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931270599365234, 'policy_loss': 3.575119972229004, 'vf_loss': 36.21963882446289, 'total_loss': 21.61562728881836}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931427001953125, 'policy_loss': 35.24659729003906, 'vf_loss': 162.17413330078125, 'total_loss': 116.26435089111328}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931425094604492, 'policy_loss': 35.288475036621094, 'vf_loss': 163.0189971923828, 'total_loss': 116.7286605834961}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 19.02997589111328, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930992126464844, 'policy_loss': 3.0949692726135254, 'vf_loss': 35.11811065673828, 'total_loss': 20.584714889526367}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931374549865723, 'policy_loss': 35.164695739746094, 'vf_loss': 163.28892517089844, 'total_loss': 116.7398452758789}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931338787078857, 'policy_loss': 34.72908020019531, 'vf_loss': 160.01889038085938, 'total_loss': 114.6692123413086}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930902481079102, 'policy_loss': 34.81791687011719, 'vf_loss': 158.3819122314453, 'total_loss': 113.93956756591797}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.929886817932129, 'policy_loss': 35.77033615112305, 'vf_loss': 164.96957397460938, 'total_loss': 118.18582916259766}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930288314819336, 'policy_loss': 35.17490768432617, 'vf_loss': 164.983642578125, 'total_loss': 117.59742736816406}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930636882781982, 'policy_loss': 34.1911506652832, 'vf_loss': 154.20919799804688, 'total_loss': 111.2264404296875}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930143356323242, 'policy_loss': 33.445552825927734, 'vf_loss': 146.88345336914062, 'total_loss': 106.81798553466797}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.929206848144531, 'policy_loss': 17.46184730529785, 'vf_loss': 88.85220336914062, 'total_loss': 61.81865692138672}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 11.717491149902344, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.928775787353516, 'policy_loss': -0.27529382705688477, 'vf_loss': 28.890296936035156, 'total_loss': 14.100567817687988}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.92800760269165, 'policy_loss': 33.52848815917969, 'vf_loss': 150.52597045898438, 'total_loss': 108.7221908569336}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 25.471723556518555, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.925442695617676, 'policy_loss': 6.332607746124268, 'vf_loss': 55.75107192993164, 'total_loss': 34.13888931274414}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.920997619628906, 'policy_loss': 35.939876556396484, 'vf_loss': 167.07029724121094, 'total_loss': 119.40581512451172}
No gradient information.s
training epoch 2 100 72.0 22.55
Main trainign step 3
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.922102928161621, 'policy_loss': 32.786014556884766, 'vf_loss': 148.33836364746094, 'total_loss': 106.88597869873047}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 19.874370574951172, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.922797203063965, 'policy_loss': 0.6265829801559448, 'vf_loss': 23.428653717041016, 'total_loss': 12.271681785583496}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.912674427032471, 'policy_loss': 31.84440803527832, 'vf_loss': 140.2259063720703, 'total_loss': 101.88822937011719}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 10.79974365234375, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.905016899108887, 'policy_loss': -1.5133404731750488, 'vf_loss': 23.435081481933594, 'total_loss': 10.135150909423828}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.902859210968018, 'policy_loss': 34.885459899902344, 'vf_loss': 163.6621856689453, 'total_loss': 116.64752197265625}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.8997883796691895, 'policy_loss': 34.03821563720703, 'vf_loss': 157.4993896484375, 'total_loss': 112.71891021728516}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.898613452911377, 'policy_loss': 34.248416900634766, 'vf_loss': 157.11398315429688, 'total_loss': 112.73641967773438}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.891030788421631, 'policy_loss': 8.322677612304688, 'vf_loss': 66.70106506347656, 'total_loss': 41.60430145263672}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.889253616333008, 'policy_loss': 3.7241687774658203, 'vf_loss': 43.59159851074219, 'total_loss': 25.451074600219727}
